filename,f1_score,accuracy
00_643_129_129_83_17,0.6526946107784432,0.8841158841158842
01_600_150_150_80_20,0.6750629722921915,0.871
02_540_180_180_75_25,0.657471264367816,0.851
03_450_225_225_67_33,0.7407407407407408,0.867
04_500_100_100_250_50,0.4523160762942779,0.799
05_467_117_117_240_60,0.4911392405063292,0.7992007992007992
06_420_140_140_225_75,0.5355450236966824,0.804
07_350_175_175_200_100,0.6420824295010847,0.835
08_357_71_71_417_83,0.30729166666666663,0.7337337337337337
09_333_83_83_400_100,0.32195121951219513,0.7217217217217218
10_300_100_100_375_125,0.4019370460048426,0.753
11_250_125_125_333_167,0.46532438478747196,0.761
12_214_43_43_583_117,0.17857142857142858,0.678
13_200_50_50_560_140,0.20098039215686272,0.674
14_180_60_60_525_175,0.2352941176470588,0.688
15_150_75_75_467_233,0.32338308457711445,0.728
16_71_14_14_750_150,0.06683804627249358,0.6366366366366366
17_67_17_17_720_180,0.065,0.6263736263736264
18_60_20_20_675_225,0.08672086720867207,0.663
19_50_25_25_600_300,0.10869565217391304,0.672
