filename,f1_score,accuracy
643_129_129_83_17,0.8865979381443299,0.967032967032967
600_150_150_80_20,0.873900293255132,0.957
540_180_180_75_25,0.9137055837563453,0.966
450_225_225_67_33,0.9158110882956879,0.959
500_100_100_250_50,0.8484848484848484,0.965
467_117_117_240_60,0.9176470588235294,0.9790209790209791
420_140_140_225_75,0.8974358974358974,0.968
350_175_175_200_100,0.9226666666666666,0.971
357_71_71_417_83,0.8536585365853658,0.975975975975976
333_83_83_400_100,0.8877005347593583,0.978978978978979
300_100_100_375_125,0.8849557522123894,0.974
250_125_125_333_167,0.9219330855018587,0.979
214_43_43_583_117,0.7962962962962964,0.978
200_50_50_560_140,0.8771929824561403,0.986
180_60_60_525_175,0.8489208633093525,0.979
150_75_75_467_233,0.8862275449101796,0.981
71_14_14_750_150,0.7368421052631579,0.98998998998999
67_17_17_720_180,0.7391304347826086,0.988011988011988
60_20_20_675_225,0.7142857142857143,0.984
50_25_25_600_300,0.7352941176470588,0.982
