filename,f1_score,accuracy
00_643_129_129_83_17,0.01019811600016378,0.054945054945054944
01_600_150_150_80_20,0.010160828376294338,0.054
02_540_180_180_75_25,0.008575783972125436,0.047
03_450_225_225_67_33,0.006121315369572782,0.035
04_500_100_100_250_50,0.07245283382165585,0.147
05_467_117_117_240_60,0.06770644607286758,0.13986013986013987
06_420_140_140_225_75,0.05896566473885419,0.125
07_350_175_175_200_100,0.05487579505901294,0.123
08_357_71_71_417_83,0.16608535053180967,0.22322322322322322
09_333_83_83_400_100,0.16364366743618025,0.22822822822822822
10_300_100_100_375_125,0.1556477826793592,0.225
11_250_125_125_333_167,0.1442879491240526,0.218
12_214_43_43_583_117,0.2966699522123525,0.321
13_200_50_50_560_140,0.2915499602402956,0.324
14_180_60_60_525_175,0.2714253920343876,0.312
15_150_75_75_467_233,0.2504125939849624,0.305
16_71_14_14_750_150,0.4632342885617995,0.43243243243243246
17_67_17_17_720_180,0.42967172295163764,0.41058941058941056
18_60_20_20_675_225,0.4001344064830435,0.399
19_50_25_25_600_300,0.3636444619307616,0.382
